0.068	0.068	0.068	0.068	0.067	0.064	0.058	0.052	0.045	0.035	0.023	0.007
0.064	0.063	0.063	0.063	0.063	0.063	0.058	0.053	0.044	0.035	0.024	0.007
0.058	0.058	0.058	0.058	0.058	0.058	0.058	0.052	0.044	0.036	0.023	0.007
0.052	0.052	0.052	0.052	0.052	0.052	0.052	0.051	0.044	0.036	0.023	0.007
0.045	0.045	0.045	0.045	0.044	0.045	0.045	0.045	0.043	0.036	0.023	0.007
0.036	0.037	0.037	0.036	0.037	0.036	0.037	0.036	0.036	0.034	0.023	0.007
0.027	0.026	0.026	0.027	0.026	0.027	0.027	0.026	0.027	0.026	0.023	0.007
0.014	0.015	0.014	0.015	0.014	0.014	0.014	0.014	0.015	0.014	0.015	0.006
0.003	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.004	0.003	0.003
0	0.001	0	0.001	0	0.001	0	0.001	0	0.001	0	0.001
0	0	0	0	0	0	0	0	0	0	0.001	0
0	0	0	0	0	0	0	0	0	0	0	0
