0.038	0.038	0.038	0.037	0.038	0.036	0.032	0.027	0.022	0.016	0.011	0.007
0.033	0.033	0.032	0.033	0.033	0.033	0.03	0.027	0.022	0.016	0.011	0.007
0.028	0.027	0.028	0.028	0.028	0.027	0.028	0.025	0.022	0.016	0.011	0.007
0.022	0.023	0.023	0.022	0.023	0.023	0.022	0.023	0.02	0.016	0.011	0.007
0.017	0.018	0.017	0.018	0.018	0.017	0.018	0.018	0.017	0.015	0.011	0.006
0.013	0.013	0.013	0.013	0.012	0.013	0.013	0.013	0.012	0.013	0.01	0.006
0.009	0.008	0.008	0.009	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.006
0.005	0.004	0.004	0.005	0.004	0.005	0.004	0.005	0.004	0.005	0.004	0.004
0.002	0.002	0.001	0.002	0.002	0.001	0.002	0.002	0.002	0.001	0.002	0.002
0	0.001	0	0.001	0	0.001	0	0.001	0	0.001	0	0.001
0	0	0	0	0	0	0.001	0	0	0	0	0
0	0	0	0.001	0	0	0	0	0	0	0	0
